Roll No,Marks Lab report (Out of 20),Marks Mid-Semester (Out of 40),Total Marks,Total Marks Percentage,Batch
190889,18.375,29.2,47.575,79.29166666666667,Y19
190890,18.625,24.4,43.025,71.70833333333333,Y19
190891,16.125,32.4,48.525,80.875,Y19
190892,17.6875,30.0,47.6875,79.47916666666667,Y19
190893,18.625,30.8,49.425,82.375,Y19
190894,18.0625,34.0,52.0625,86.77083333333333,Y19
190895,14.375,38.8,53.175,88.625,Y19
190896,13.0,24.8,37.8,62.99999999999999,Y19
190897,14.1875,38.4,52.5875,87.64583333333333,Y19
190898,17.625,26.0,43.625,72.70833333333333,Y19
190899,13.25,26.4,39.65,66.08333333333333,Y19
190900,17.9375,35.2,53.1375,88.5625,Y19
190901,16.5625,38.8,55.3625,92.27083333333333,Y19
190902,19.125,35.2,54.325,90.54166666666667,Y19
190904,14.25,37.6,51.85,86.41666666666667,Y19
190905,18.875,34.0,52.875,88.125,Y19
190906,14.1875,36.4,50.5875,84.3125,Y19
190907,16.4375,29.2,45.6375,76.0625,Y19
190908,19.0625,30.4,49.4625,82.4375,Y19
190909,17.4375,26.0,43.4375,72.39583333333333,Y19
190910,17.625,27.6,45.225,75.375,Y19
190911,17.875,37.2,55.075,91.79166666666667,Y19
190912,17.5625,34.4,51.9625,86.60416666666667,Y19
190913,17.4375,27.6,45.0375,75.0625,Y19
190914,19.375,20.0,39.375,65.625,Y19
190915,18.3125,34.4,52.7125,87.85416666666667,Y19
190916,19.375,38.8,58.175,96.95833333333333,Y19
190917,19.5,34.8,54.3,90.5,Y19
190918,19.0,37.2,56.2,93.66666666666667,Y19
190919,19.3125,38.4,57.7125,96.1875,Y19
190920,16.125,33.6,49.725,82.875,Y19
190921,19.3125,22.0,41.3125,68.85416666666667,Y19
190922,19.875,35.6,55.475,92.45833333333333,Y19
190923,14.1875,32.4,46.5875,77.64583333333333,Y19
190924,18.5,36.8,55.3,92.16666666666667,Y19
190925,19.5625,13.2,32.7625,54.60416666666667,Y19
190926,19.4375,37.2,56.6375,94.39583333333333,Y19
190927,14.75,28.4,43.15,71.91666666666667,Y19
190928,18.625,28.4,47.025,78.375,Y19
190929,19.125,34.8,53.925,89.875,Y19
190930,11.375,38.0,49.375,82.29166666666667,Y19
190931,18.625,33.2,51.825,86.375,Y19
190932,19.0,25.6,44.6,74.33333333333333,Y19
190933,18.625,36.4,55.025,91.70833333333333,Y19
190934,18.75,20.4,39.15,65.25,Y19
190935,18.25,0.0,18.25,30.416666666666668,Y19
190936,19.375,31.6,50.975,84.95833333333333,Y19
190937,0.0,29.2,29.2,48.666666666666664,Y19
190938,19.0,27.2,46.2,77.0,Y19
190939,19.125,35.2,54.325,90.54166666666667,Y19
190940,18.75,30.8,49.55,82.58333333333333,Y19
190941,18.625,36.8,55.425,92.375,Y19
190942,19.375,38.8,58.175,96.95833333333333,Y19
190943,19.125,32.4,51.525,85.875,Y19
190944,16.5,17.2,33.7,56.16666666666667,Y19
190945,11.875,29.2,41.075,68.45833333333333,Y19
190946,14.625,34.0,48.625,81.04166666666667,Y19
190947,15.25,33.6,48.85,81.41666666666667,Y19
190948,19.5,33.6,53.1,88.5,Y19
190949,11.5,26.4,37.9,63.166666666666664,Y19
190950,18.875,34.0,52.875,88.125,Y19
190951,10.25,29.6,39.85,66.41666666666667,Y19
190952,13.75,30.4,44.15,73.58333333333333,Y19
190953,17.125,29.2,46.325,77.20833333333333,Y19
190954,13.875,36.0,49.875,83.125,Y19
